date,event,player_a,player_b,score_a,odds_a,odds_b
2019-03-26,Demo 1.40,H. Van Dijk,G. Petrov,1,2.14,1.71
2019-03-28,Demo 1.41,B. Ferreira,J. Schmidt,0,1.98,1.81
2019-03-30,Demo 1.42,K. Mbaye,D. Moreau,1,2.04,1.66
2019-04-01,Demo 1.43,O. Silva,F. O'Connell,1,1.69,2.39
2019-04-03,Demo 1.44,D. Moreau,B. Ferreira,1,1.64,2.34
2019-04-05,Demo 1.45,L. Kowalski,O. Silva,1,1.43,3.0
2019-04-07,Demo 1.46,J. Schmidt,P. Doyle,0,1.53,2.63
2019-04-09,Demo 1.47,J. Schmidt,O. Silva,1,1.73,2.29
2019-04-11,Demo 1.48,E. Tanaka,P. Doyle,1,1.59,2.25
2019-04-13,Demo 1.49,I. Costa,P. Doyle,0,1.62,2.21
2019-04-15,Demo 1.50,I. Costa,A. Novak,1,1.92,1.98
2019-04-17,Demo 1.51,I. Costa,C. Lindqvist,1,2.06,1.83
2019-04-19,Demo 1.52,E. Tanaka,I. Costa,1,1.93,1.87
2019-04-21,Demo 1.53,N. Berg,C. Lindqvist,0,1.8,1.98
2019-04-23,Demo 1.54,L. Kowalski,D. Moreau,0,1.76,2.21
2019-04-25,Demo 1.55,N. Berg,J. Schmidt,1,2.1,1.83
2019-04-27,Demo 1.56,F. O'Connell,O. Silva,0,2.18,1.53
2019-04-29,Demo 1.57,N. Berg,M. Rossi,1,2.32,1.65
2019-05-01,Demo 1.58,M. Rossi,N. Berg,1,1.74,2.16
2019-05-03,Demo 1.59,O. Silva,F. O'Connell,1,1.55,2.21
2019-05-05,Demo 1.60,K. Mbaye,E. Tanaka,0,1.71,2.09
2019-05-07,Demo 1.61,M. Rossi,K. Mbaye,0,1.75,1.94
2019-05-09,Demo 1.62,F. O'Connell,J. Schmidt,0,2.7,1.45
2019-05-11,Demo 1.63,N. Berg,F. O'Connell,1,1.52,2.85
2019-05-13,Demo 1.64,G. Petrov,E. Tanaka,1,1.8,2.08
2019-05-15,Demo 1.65,G. Petrov,F. O'Connell,0,1.41,2.96
2019-05-17,Demo 1.66,D. Moreau,L. Kowalski,0,2.28,1.73
2019-05-19,Demo 1.67,K. Mbaye,G. Petrov,1,2.05,1.9
2019-05-21,Demo 1.68,F. O'Connell,J. Schmidt,0,2.95,1.43
2019-05-23,Demo 1.69,J. Schmidt,E. Tanaka,0,1.7,2.06
2019-05-25,Demo 1.70,G. Petrov,I. Costa,1,1.61,2.28
2019-05-27,Demo 1.71,F. O'Connell,K. Mbaye,0,2.64,1.5
2019-05-29,Demo 1.72,H. Van Dijk,K. Mbaye,1,2.13,1.75
2019-05-31,Demo 1.73,B. Ferreira,D. Moreau,0,2.36,1.72
2019-06-02,Demo 1.74,G. Petrov,L. Kowalski,0,2.4,1.62
2019-06-04,Demo 1.75,A. Novak,O. Silva,1,1.79,2.25
2019-06-06,Demo 1.76,O. Silva,A. Novak,0,2.15,1.7
2019-06-08,Demo 1.77,E. Tanaka,M. Rossi,0,2.26,1.67
2019-06-10,Demo 1.78,O. Silva,J. Schmidt,0,2.24,1.65
2019-06-12,Demo 1.79,O. Silva,P. Doyle,1,1.69,2.03
2019-06-14,Demo 1.80,I. Costa,M. Rossi,0,2.43,1.6
2019-06-16,Demo 1.81,O. Silva,B. Ferreira,1,2.25,1.67
2019-06-18,Demo 1.82,E. Tanaka,D. Moreau,0,2.27,1.59
2019-06-20,Demo 1.83,N. Berg,G. Petrov,1,1.93,1.78
2019-06-22,Demo 1.84,A. Novak,N. Berg,0,2.11,1.84
2019-06-24,Demo 1.85,L. Kowalski,E. Tanaka,0,1.62,2.76
2019-06-26,Demo 1.86,H. Van Dijk,P. Doyle,1,1.65,2.26
2019-06-28,Demo 1.87,K. Mbaye,P. Doyle,1,1.57,2.6
2019-06-30,Demo 1.88,A. Novak,O. Silva,1,1.7,2.2
2019-07-02,Demo 1.89,N. Berg,C. Lindqvist,1,1.85,2.05
2019-07-04,Demo 1.90,K. Mbaye,M. Rossi,0,2.15,1.6
2019-07-06,Demo 1.91,N. Berg,E. Tanaka,0,1.88,1.83
2019-07-08,Demo 1.92,H. Van Dijk,K. Mbaye,1,2.12,1.72
2019-07-10,Demo 1.93,A. Novak,D. Moreau,1,2.3,1.56
2019-07-12,Demo 1.94,G. Petrov,H. Van Dijk,0,1.68,2.26
2019-07-14,Demo 1.95,D. Moreau,M. Rossi,1,2.08,1.86
2019-07-16,Demo 1.96,M. Rossi,G. Petrov,0,1.75,1.95
2019-07-18,Demo 1.97,H. Van Dijk,B. Ferreira,0,2.01,1.82
2019-07-20,Demo 1.98,B. Ferreira,F. O'Connell,1,1.53,2.61
2019-07-22,Demo 1.99,K. Mbaye,A. Novak,1,1.86,1.96
2019-07-24,Demo 1.100,O. Silva,L. Kowalski,0,2.71,1.4
2019-07-26,Demo 1.101,I. Costa,J. Schmidt,0,2.17,1.87
2019-07-28,Demo 1.102,I. Costa,F. O'Connell,0,1.51,2.59
2019-07-30,Demo 1.103,O. Silva,D. Moreau,0,2.82,1.53
2019-08-01,Demo 1.104,K. Mbaye,C. Lindqvist,1,1.8,2.01
2019-08-03,Demo 1.105,I. Costa,O. Silva,1,1.78,2.22
2019-08-05,Demo 1.106,H. Van Dijk,L. Kowalski,0,2.72,1.51
2019-08-07,Demo 1.107,P. Doyle,K. Mbaye,1,2.68,1.54
2019-08-09,Demo 1.108,H. Van Dijk,E. Tanaka,0,2.04,1.78
2019-08-11,Demo 1.109,L. Kowalski,G. Petrov,1,1.62,2.41
2019-08-13,Demo 1.110,H. Van Dijk,B. Ferreira,0,2.0,1.76
2019-08-15,Demo 1.111,F. O'Connell,D. Moreau,0,2.71,1.37
2019-08-17,Demo 1.112,J. Schmidt,B. Ferreira,0,1.81,1.96
2019-08-19,Demo 1.113,J. Schmidt,A. Novak,1,1.83,1.96
2019-08-21,Demo 1.114,E. Tanaka,K. Mbaye,0,2.28,1.75
2019-08-23,Demo 1.115,J. Schmidt,H. Van Dijk,0,1.74,2.09
2019-08-25,Demo 1.116,D. Moreau,N. Berg,1,1.77,2.19
2019-08-27,Demo 1.117,B. Ferreira,C. Lindqvist,1,1.85,1.84
2019-08-29,Demo 1.118,N. Berg,J. Schmidt,0,2.01,2.0
2019-08-31,Demo 1.119,M. Rossi,H. Van Dijk,1,1.62,2.51
2019-09-02,Demo 1.120,B. Ferreira,J. Schmidt,0,1.93,1.72
2019-09-04,Demo 1.121,G. Petrov,E. Tanaka,1,1.76,2.12
2019-09-06,Demo 1.122,O. Silva,L. Kowalski,0,2.83,1.41
2019-09-08,Demo 1.123,J. Schmidt,L. Kowalski,1,2.47,1.58
2019-09-10,Demo 1.124,G. Petrov,P. Doyle,1,1.51,2.5
2019-09-12,Demo 1.125,I. Costa,N. Berg,0,2.03,1.88
2019-09-14,Demo 1.126,J. Schmidt,H. Van Dijk,1,1.79,2.23
2019-09-16,Demo 1.127,I. Costa,P. Doyle,1,1.64,2.17
2019-09-18,Demo 1.128,I. Costa,A. Novak,1,1.8,1.91
2019-09-20,Demo 1.129,A. Novak,M. Rossi,1,2.38,1.62
2019-09-22,Demo 1.130,O. Silva,P. Doyle,1,1.72,2.03
2019-09-24,Demo 1.131,P. Doyle,B. Ferreira,0,2.3,1.59
2019-09-26,Demo 1.132,N. Berg,L. Kowalski,0,2.5,1.61
2019-09-28,Demo 1.133,B. Ferreira,H. Van Dijk,1,1.84,1.92
2019-09-30,Demo 1.134,A. Novak,K. Mbaye,0,2.11,1.75
2019-10-02,Demo 1.135,L. Kowalski,J. Schmidt,1,1.64,2.38
2019-10-04,Demo 1.136,J. Schmidt,H. Van Dijk,0,1.77,2.08
2019-10-06,Demo 1.137,H. Van Dijk,L. Kowalski,0,2.47,1.39
2019-10-08,Demo 1.138,D. Moreau,H. Van Dijk,0,1.6,2.45
2019-10-10,Demo 1.139,J. Schmidt,I. Costa,1,1.84,2.16
2019-10-12,Demo 1.140,E. Tanaka,G. Petrov,1,2.26,1.79
2019-10-14,Demo 1.141,E. Tanaka,N. Berg,0,1.95,1.87
2019-10-16,Demo 1.142,I. Costa,N. Berg,1,2.08,1.91
2019-10-18,Demo 1.143,P. Doyle,N. Berg,0,2.35,1.61
2019-10-20,Demo 1.144,O. Silva,P. Doyle,1,1.75,1.92
2019-10-22,Demo 1.145,M. Rossi,D. Moreau,1,1.99,2.06
2019-10-24,Demo 1.146,M. Rossi,G. Petrov,0,1.75,2.19
2019-10-26,Demo 1.147,E. Tanaka,H. Van Dijk,0,1.85,1.99
2019-10-28,Demo 1.148,O. Silva,B. Ferreira,0,2.34,1.67
2019-10-30,Demo 1.149,N. Berg,P. Doyle,1,1.58,2.36
2019-11-01,Demo 1.150,M. Rossi,K. Mbaye,1,1.78,1.99
2019-11-03,Demo 1.151,M. Rossi,F. O'Connell,1,1.49,3.13
2019-11-05,Demo 1.152,H. Van Dijk,K. Mbaye,0,2.16,1.67
2019-11-07,Demo 1.153,C. Lindqvist,G. Petrov,0,2.14,1.7
2019-11-09,Demo 1.154,J. Schmidt,O. Silva,1,1.62,2.3
2019-11-11,Demo 1.155,L. Kowalski,F. O'Connell,1,1.38,3.05
2019-11-13,Demo 1.156,F. O'Connell,B. Ferreira,0,2.73,1.47
2019-11-15,Demo 1.157,P. Doyle,O. Silva,0,2.07,1.89
2019-11-17,Demo 1.158,O. Silva,P. Doyle,1,1.82,2.04
2019-11-19,Demo 1.159,L. Kowalski,J. Schmidt,1,1.45,2.53
2019-11-21,Demo 1.160,M. Rossi,N. Berg,1,1.69,2.05
2019-11-23,Demo 1.161,J. Schmidt,L. Kowalski,0,2.14,1.58
2019-11-25,Demo 1.162,B. Ferreira,O. Silva,1,1.83,2.17
2019-11-27,Demo 1.163,J. Schmidt,M. Rossi,1,2.3,1.76
2019-11-29,Demo 1.164,E. Tanaka,K. Mbaye,1,2.09,1.77
2019-12-01,Demo 1.165,O. Silva,A. Novak,1,2.28,1.71
2019-12-03,Demo 1.166,F. O'Connell,D. Moreau,0,3.43,1.45
2019-12-05,Demo 1.167,I. Costa,N. Berg,0,1.9,1.72
2019-12-07,Demo 1.168,K. Mbaye,M. Rossi,1,2.06,1.75
2019-12-09,Demo 1.169,H. Van Dijk,N. Berg,0,2.21,1.71
2019-12-11,Demo 1.170,C. Lindqvist,M. Rossi,0,2.29,1.61
2019-12-13,Demo 1.171,L. Kowalski,K. Mbaye,1,1.64,2.44
2019-12-15,Demo 1.172,H. Van Dijk,P. Doyle,1,1.59,2.37
2019-12-17,Demo 1.173,H. Van Dijk,K. Mbaye,0,2.08,1.73
2019-12-19,Demo 1.174,E. Tanaka,A. Novak,0,1.93,1.83
2019-12-21,Demo 1.175,D. Moreau,P. Doyle,1,1.48,2.86
2019-12-23,Demo 1.176,N. Berg,J. Schmidt,0,1.86,1.84
2019-12-25,Demo 1.177,D. Moreau,N. Berg,0,1.68,2.1
2019-12-27,Demo 1.178,O. Silva,H. Van Dijk,0,2.1,1.75
2019-12-29,Demo 1.179,L. Kowalski,I. Costa,1,1.55,2.65
2019-12-31,Demo 1.180,O. Silva,B. Ferreira,0,2.27,1.76
2020-01-02,Demo 2.1,A. Novak,P. Doyle,1,1.65,2.38
2020-01-04,Demo 2.2,G. Petrov,J. Schmidt,1,1.77,2.06
2020-01-06,Demo 2.3,E. Tanaka,M. Rossi,0,2.3,1.61
2020-01-08,Demo 2.4,I. Costa,M. Rossi,1,2.35,1.62
2020-01-10,Demo 2.5,A. Novak,F. O'Connell,1,1.55,2.56
2020-01-12,Demo 2.6,N. Berg,I. Costa,1,1.71,2.02
2020-01-14,Demo 2.7,L. Kowalski,I. Costa,1,1.54,2.77
2020-01-16,Demo 2.8,J. Schmidt,H. Van Dijk,0,1.55,2.02
2020-01-18,Demo 2.9,M. Rossi,G. Petrov,0,1.85,2.02
2020-01-20,Demo 2.10,E. Tanaka,B. Ferreira,1,1.96,2.0
2020-01-22,Demo 2.11,K. Mbaye,G. Petrov,1,1.95,1.89
2020-01-24,Demo 2.12,D. Moreau,N. Berg,1,1.63,2.28
2020-01-26,Demo 2.13,G. Petrov,P. Doyle,1,1.5,2.72
2020-01-28,Demo 2.14,D. Moreau,F. O'Connell,1,1.44,3.04
2020-01-30,Demo 2.15,E. Tanaka,K. Mbaye,0,2.09,1.74
2020-02-01,Demo 2.16,L. Kowalski,M. Rossi,1,1.58,2.06
2020-02-03,Demo 2.17,K. Mbaye,P. Doyle,1,1.5,2.53
2020-02-05,Demo 2.18,B. Ferreira,E. Tanaka,0,1.99,1.81
2020-02-07,Demo 2.19,G. Petrov,C. Lindqvist,1,1.77,2.07
2020-02-09,Demo 2.20,I. Costa,J. Schmidt,1,2.17,1.74
2020-02-11,Demo 2.21,A. Novak,J. Schmidt,1,2.1,1.75
2020-02-13,Demo 2.22,J. Schmidt,O. Silva,1,1.51,2.32
2020-02-15,Demo 2.23,M. Rossi,B. Ferreira,1,1.56,2.32
2020-02-17,Demo 2.24,N. Berg,H. Van Dijk,1,1.83,1.98
2020-02-19,Demo 2.25,C. Lindqvist,O. Silva,1,1.66,2.25
2020-02-21,Demo 2.26,N. Berg,H. Van Dijk,0,1.79,2.05
2020-02-23,Demo 2.27,D. Moreau,F. O'Connell,1,1.41,3.18
2020-02-25,Demo 2.28,B. Ferreira,D. Moreau,0,2.35,1.61
2020-02-27,Demo 2.29,J. Schmidt,D. Moreau,1,2.37,1.64
2020-02-29,Demo 2.30,N. Berg,C. Lindqvist,1,1.86,2.02
2020-03-02,Demo 2.31,L. Kowalski,B. Ferreira,1,1.47,2.62
2020-03-04,Demo 2.32,K. Mbaye,J. Schmidt,1,1.94,1.89
2020-03-06,Demo 2.33,J. Schmidt,B. Ferreira,1,1.69,1.95
2020-03-08,Demo 2.34,L. Kowalski,B. Ferreira,1,1.47,2.48
2020-03-10,Demo 2.35,M. Rossi,I. Costa,1,1.56,2.3
2020-03-12,Demo 2.36,C. Lindqvist,I. Costa,0,1.91,1.96
2020-03-14,Demo 2.37,L. Kowalski,F. O'Connell,1,1.48,2.99
2020-03-16,Demo 2.38,G. Petrov,C. Lindqvist,1,1.73,2.26
2020-03-18,Demo 2.39,F. O'Connell,M. Rossi,0,3.03,1.48
2020-03-20,Demo 2.40,K. Mbaye,N. Berg,0,1.88,1.88
2020-03-22,Demo 2.41,P. Doyle,H. Van Dijk,0,2.43,1.65
2020-03-24,Demo 2.42,O. Silva,H. Van Dijk,1,2.18,1.69
2020-03-26,Demo 2.43,C. Lindqvist,J. Schmidt,0,2.06,1.71
2020-03-28,Demo 2.44,B. Ferreira,H. Van Dijk,0,1.91,1.97
2020-03-30,Demo 2.45,P. Doyle,I. Costa,1,2.27,1.59
2020-04-01,Demo 2.46,C. Lindqvist,I. Costa,0,1.76,1.92
2020-04-03,Demo 2.47,O. Silva,I. Costa,0,2.16,1.72
2020-04-05,Demo 2.48,K. Mbaye,P. Doyle,1,1.51,2.73
2020-04-07,Demo 2.49,C. Lindqvist,F. O'Connell,1,1.47,2.63
2020-04-09,Demo 2.50,E. Tanaka,F. O'Connell,1,1.57,2.88
2020-04-11,Demo 2.51,J. Schmidt,K. Mbaye,0,2.04,1.8
2020-04-13,Demo 2.52,M. Rossi,K. Mbaye,0,1.7,2.24
2020-04-15,Demo 2.53,C. Lindqvist,K. Mbaye,1,2.16,1.83
2020-04-17,Demo 2.54,K. Mbaye,M. Rossi,0,2.1,1.7
2020-04-19,Demo 2.55,C. Lindqvist,E. Tanaka,0,1.93,1.83
2020-04-21,Demo 2.56,B. Ferreira,K. Mbaye,1,2.09,1.78
2020-04-23,Demo 2.57,M. Rossi,C. Lindqvist,0,1.55,2.26
2020-04-25,Demo 2.58,O. Silva,A. Novak,0,2.23,1.72
2020-04-27,Demo 2.59,O. Silva,J. Schmidt,0,2.16,1.66
2020-04-29,Demo 2.60,P. Doyle,O. Silva,0,2.19,1.68
2020-05-01,Demo 2.61,O. Silva,H. Van Dijk,0,2.31,1.76
2020-05-03,Demo 2.62,G. Petrov,M. Rossi,0,2.04,1.79
2020-05-05,Demo 2.63,P. Doyle,N. Berg,0,2.27,1.58
2020-05-07,Demo 2.64,C. Lindqvist,M. Rossi,1,2.42,1.61
2020-05-09,Demo 2.65,N. Berg,B. Ferreira,1,1.8,2.05
2020-05-11,Demo 2.66,B. Ferreira,G. Petrov,0,2.12,1.53
2020-05-13,Demo 2.67,L. Kowalski,D. Moreau,0,1.7,2.23
2020-05-15,Demo 2.68,E. Tanaka,A. Novak,1,1.84,2.02
2020-05-17,Demo 2.69,E. Tanaka,M. Rossi,1,2.41,1.59
2020-05-19,Demo 2.70,E. Tanaka,I. Costa,0,1.93,2.0
2020-05-21,Demo 2.71,J. Schmidt,D. Moreau,0,2.16,1.67
2020-05-23,Demo 2.72,D. Moreau,N. Berg,0,1.69,2.2
2020-05-25,Demo 2.73,H. Van Dijk,L. Kowalski,0,2.5,1.5
2020-05-27,Demo 2.74,C. Lindqvist,I. Costa,0,1.78,1.91
2020-05-29,Demo 2.75,A. Novak,G. Petrov,0,2.15,1.8
2020-05-31,Demo 2.76,L. Kowalski,M. Rossi,1,1.71,2.02
2020-06-02,Demo 2.77,D. Moreau,M. Rossi,1,1.95,1.97
2020-06-04,Demo 2.78,F. O'Connell,N. Berg,0,2.94,1.46
2020-06-06,Demo 2.79,F. O'Connell,M. Rossi,0,2.69,1.4
2020-06-08,Demo 2.80,G. Petrov,O. Silva,1,1.51,2.5
2020-06-10,Demo 2.81,P. Doyle,E. Tanaka,1,2.31,1.59
2020-06-12,Demo 2.82,K. Mbaye,E. Tanaka,1,1.86,1.94
2020-06-14,Demo 2.83,O. Silva,P. Doyle,1,1.81,2.06
2020-06-16,Demo 2.84,I. Costa,M. Rossi,1,2.45,1.58
2020-06-18,Demo 2.85,F. O'Connell,I. Costa,0,2.48,1.54
2020-06-20,Demo 2.86,N. Berg,C. Lindqvist,0,1.82,1.99
2020-06-22,Demo 2.87,L. Kowalski,J. Schmidt,0,1.57,2.38
2020-06-24,Demo 2.88,M. Rossi,F. O'Connell,1,1.42,2.98
2020-06-26,Demo 2.89,A. Novak,C. Lindqvist,1,2.02,1.85
2020-06-28,Demo 2.90,L. Kowalski,F. O'Connell,1,1.45,3.11
2020-06-30,Demo 2.91,O. Silva,F. O'Connell,1,1.57,2.39
2020-07-02,Demo 2.92,I. Costa,D. Moreau,0,2.29,1.59
2020-07-04,Demo 2.93,M. Rossi,O. Silva,1,1.52,3.14
2020-07-06,Demo 2.94,J. Schmidt,L. Kowalski,0,2.49,1.57
2020-07-08,Demo 2.95,C. Lindqvist,H. Van Dijk,0,1.74,1.9
2020-07-10,Demo 2.96,K. Mbaye,P. Doyle,1,1.47,2.46
2020-07-12,Demo 2.97,J. Schmidt,N. Berg,0,1.81,1.87
2020-07-14,Demo 2.98,H. Van Dijk,B. Ferreira,0,1.93,1.92
2020-07-16,Demo 2.99,P. Doyle,A. Novak,0,2.23,1.58
2020-07-18,Demo 2.100,C. Lindqvist,B. Ferreira,1,1.77,1.93
2020-07-20,Demo 2.101,N. Berg,M. Rossi,1,2.1,1.71
2020-07-22,Demo 2.102,O. Silva,K. Mbaye,0,2.24,1.52
2020-07-24,Demo 2.103,F. O'Connell,M. Rossi,0,2.92,1.4
2020-07-26,Demo 2.104,E. Tanaka,P. Doyle,1,1.64,2.19
2020-07-28,Demo 2.105,L. Kowalski,I. Costa,1,1.57,2.71
2020-07-30,Demo 2.106,E. Tanaka,K. Mbaye,1,2.18,1.78
2020-08-01,Demo 2.107,F. O'Connell,J. Schmidt,0,2.72,1.49
2020-08-03,Demo 2.108,B. Ferreira,N. Berg,0,1.87,1.71
2020-08-05,Demo 2.109,I. Costa,K. Mbaye,0,2.01,1.61
2020-08-07,Demo 2.110,J. Schmidt,K. Mbaye,0,2.11,1.84
2020-08-09,Demo 2.111,M. Rossi,E. Tanaka,1,1.6,2.4
2020-08-11,Demo 2.112,K. Mbaye,J. Schmidt,1,1.82,2.01
2020-08-13,Demo 2.113,L. Kowalski,G. Petrov,1,1.58,2.37
2020-08-15,Demo 2.114,I. Costa,H. Van Dijk,1,1.83,1.89
2020-08-17,Demo 2.115,M. Rossi,N. Berg,0,1.73,2.12
2020-08-19,Demo 2.116,K. Mbaye,D. Moreau,0,2.25,1.72
2020-08-21,Demo 2.117,P. Doyle,O. Silva,0,2.02,1.99
2020-08-23,Demo 2.118,G. Petrov,J. Schmidt,1,1.74,1.97
2020-08-25,Demo 2.119,P. Doyle,E. Tanaka,0,2.4,1.54
2020-08-27,Demo 2.120,M. Rossi,F. O'Connell,1,1.37,2.81
2020-08-29,Demo 2.121,L. Kowalski,I. Costa,1,1.46,2.87
2020-08-31,Demo 2.122,D. Moreau,C. Lindqvist,0,1.7,2.19
2020-09-02,Demo 2.123,K. Mbaye,I. Costa,1,1.77,2.24
2020-09-04,Demo 2.124,B. Ferreira,A. Novak,1,1.96,1.82
2020-09-06,Demo 2.125,O. Silva,C. Lindqvist,0,2.29,1.7
2020-09-08,Demo 2.126,J. Schmidt,P. Doyle,1,1.52,2.62
2020-09-10,Demo 2.127,J. Schmidt,H. Van Dijk,0,1.81,1.97
2020-09-12,Demo 2.128,A. Novak,J. Schmidt,0,1.89,1.82
2020-09-14,Demo 2.129,H. Van Dijk,L. Kowalski,0,2.56,1.51
2020-09-16,Demo 2.130,M. Rossi,C. Lindqvist,0,1.63,2.15
2020-09-18,Demo 2.131,D. Moreau,P. Doyle,1,1.46,2.79
2020-09-20,Demo 2.132,P. Doyle,N. Berg,0,2.5,1.63
2020-09-22,Demo 2.133,G. Petrov,I. Costa,1,1.62,2.19
2020-09-24,Demo 2.134,K. Mbaye,I. Costa,1,1.72,2.28
2020-09-26,Demo 2.135,I. Costa,J. Schmidt,1,2.04,1.82
2020-09-28,Demo 2.136,J. Schmidt,M. Rossi,1,2.13,1.61
2020-09-30,Demo 2.137,K. Mbaye,H. Van Dijk,0,1.6,2.15
2020-10-02,Demo 2.138,M. Rossi,O. Silva,0,1.46,2.96
2020-10-04,Demo 2.139,E. Tanaka,P. Doyle,1,1.57,2.21
2020-10-06,Demo 2.140,P. Doyle,D. Moreau,0,3.14,1.49
2020-10-08,Demo 2.141,I. Costa,C. Lindqvist,1,1.87,1.72
2020-10-10,Demo 2.142,H. Van Dijk,K. Mbaye,1,2.08,1.68
2020-10-12,Demo 2.143,P. Doyle,B. Ferreira,0,2.38,1.58
2020-10-14,Demo 2.144,P. Doyle,H. Van Dijk,0,2.27,1.69
2020-10-16,Demo 2.145,J. Schmidt,K. Mbaye,0,1.91,1.84
2020-10-18,Demo 2.146,B. Ferreira,O. Silva,0,1.8,2.09
2020-10-20,Demo 2.147,B. Ferreira,N. Berg,0,1.98,1.65
2020-10-22,Demo 2.148,B. Ferreira,A. Novak,1,2.07,2.0
2020-10-24,Demo 2.149,K. Mbaye,E. Tanaka,1,1.73,2.04
2020-10-26,Demo 2.150,O. Silva,E. Tanaka,1,2.16,1.66
2020-10-28,Demo 2.151,O. Silva,K. Mbaye,0,2.31,1.57
2020-10-30,Demo 2.152,G. Petrov,C. Lindqvist,0,1.77,2.19
2020-11-01,Demo 2.153,N. Berg,I. Costa,1,1.72,1.96
2020-11-03,Demo 2.154,H. Van Dijk,A. Novak,1,1.95,1.74
2020-11-05,Demo 2.155,K. Mbaye,E. Tanaka,1,1.8,2.12
2020-11-07,Demo 2.156,D. Moreau,H. Van Dijk,1,1.64,2.31
2020-11-09,Demo 2.157,J. Schmidt,L. Kowalski,0,2.26,1.59
2020-11-11,Demo 2.158,E. Tanaka,H. Van Dijk,1,1.85,2.09
2020-11-13,Demo 2.159,N. Berg,L. Kowalski,0,2.47,1.58
2020-11-15,Demo 2.160,H. Van Dijk,K. Mbaye,0,2.12,1.73
2020-11-17,Demo 2.161,O. Silva,I. Costa,0,2.19,1.64
2020-11-19,Demo 2.162,G. Petrov,J. Schmidt,1,1.75,1.87
2020-11-21,Demo 2.163,O. Silva,B. Ferreira,0,2.33,1.64
2020-11-23,Demo 2.164,B. Ferreira,H. Van Dijk,1,1.95,1.9
2020-11-25,Demo 2.165,O. Silva,K. Mbaye,0,2.58,1.55
2020-11-27,Demo 2.166,C. Lindqvist,A. Novak,1,1.92,2.02
2020-11-29,Demo 2.167,B. Ferreira,O. Silva,1,1.81,2.19
2020-12-01,Demo 2.168,E. Tanaka,M. Rossi,0,2.33,1.79
2020-12-03,Demo 2.169,L. Kowalski,O. Silva,0,1.39,2.99
2020-12-05,Demo 2.170,E. Tanaka,K. Mbaye,0,1.88,1.63
